
Host: alia-MS-7A39

Timers On : Tue Apr  6 21:49:52 2021
Timers Off: Wed Apr  7 19:29:21 2021

Wall Time:    77969.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: alia-MS-7A39

Timers On : Wed Apr 14 22:57:13 2021
Timers Off: Thu Apr 15 11:18:21 2021

Wall Time:    44467.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: alia-MS-7A39

Timers On : Fri Apr 16 11:14:24 2021
Timers Off: Fri Apr 16 11:29:14 2021

Wall Time:      890.08 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Alias-MacBook-Pro.local

Timers On : Thu Apr 15 21:21:31 2021
Timers Off: Fri Apr 16 20:51:44 2021

Wall Time:    13810.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|Q)^-1                        :      7.917u      2.050s      5.038w      1 calls
JK: (A|mn)                          :     30.133u      0.200s     18.246w      5 calls
JK: (Q|mn)                          :     28.100u      0.200s     17.056w      5 calls
JK: (Q|mn) Write                    :      0.083u      1.617s      3.462w      5 calls
HF: Form core H                     :      0.017u      0.017s      0.073w      2 calls
HF: Form S/X                        :      0.200u      0.000s      0.160w      2 calls
HF: Guess                           :      0.550u      0.067s      0.424w      2 calls
SAD Guess                           :      0.533u      0.067s      0.407w      2 calls
HF: Form G                          :    288.250u     21.500s    187.108w     31 calls
JK: D                               :      0.017u      0.000s      0.020w     32 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w     32 calls
JK: JK                              :    295.867u     22.233s    192.171w     32 calls
JK: (Q|mn) Read                     :      0.283u     15.650s      9.941w    178 calls
JK: J                               :      8.933u      0.000s      5.322w    178 calls
JK: J1                              :      4.433u      0.000s      2.600w    178 calls
JK: J2                              :      4.267u      0.000s      2.566w    178 calls
JK: K                               :    282.917u      1.700s    171.617w    178 calls
JK: K1                              :    221.150u      1.367s    134.221w    178 calls
JK: K2                              :     61.717u      0.317s     37.375w    178 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     32 calls
HF: Form F                          :      0.017u      0.000s      0.012w     31 calls
HF: Form D                          :      0.050u      0.000s      0.019w     31 calls
HF: DIIS                            :      0.983u      0.250s      0.762w     29 calls
DIISManager::add_entry              :      0.000u      0.050s      0.043w     29 calls
DIISManager::extrapolate            :      0.050u      0.200s      0.158w     29 calls
bMatrix setup                       :      0.000u      0.183s      0.088w     29 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     29 calls
New vector                          :      0.050u      0.017s      0.068w     29 calls
HF: Form C                          :      2.383u      0.000s      1.441w     29 calls

--------------------------------------------------------------------------------------
JK: (A|Q)^-1                        :      7.917u      2.050s      5.038w      1 calls
JK: (A|mn)                          :     30.133u      0.200s     18.246w      5 calls
JK: (Q|mn)                          :     28.100u      0.200s     17.056w      5 calls
JK: (Q|mn) Write                    :      0.083u      1.617s      3.462w      5 calls
HF: Form core H                     :      0.017u      0.017s      0.073w      2 calls
HF: Form S/X                        :      0.200u      0.000s      0.160w      2 calls
HF: Guess                           :      0.550u      0.067s      0.424w      2 calls
| SAD Guess                         :      0.533u      0.067s      0.407w      2 calls
HF: Form G                          :    288.250u     21.500s    187.108w     32 calls
| JK: D                             :      0.017u      0.000s      0.020w     32 calls
| JK: USO2AO                        :      0.000u      0.000s      0.005w     32 calls
| JK: JK                            :    295.867u     22.233s    192.171w     32 calls
| | JK: (Q|mn) Read                 :      0.283u     15.650s      9.941w    178 calls
| | JK: J                           :      8.933u      0.000s      5.322w    178 calls
| | | JK: J1                        :      4.433u      0.000s      2.600w    178 calls
| | | JK: J2                        :      4.267u      0.000s      2.566w    178 calls
| | JK: K                           :    282.917u      1.700s    171.617w    178 calls
| | | JK: K1                        :    221.150u      1.367s    134.221w    178 calls
| | | JK: K2                        :     61.717u      0.317s     37.375w    178 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     32 calls
HF: Form F                          :      0.017u      0.000s      0.012w     31 calls
HF: Form D                          :      0.050u      0.000s      0.019w     31 calls
HF: DIIS                            :      0.983u      0.250s      0.762w     29 calls
| DIISManager::add_entry            :      0.000u      0.050s      0.043w     29 calls
| DIISManager::extrapolate          :      0.050u      0.200s      0.158w     29 calls
| | bMatrix setup                   :      0.000u      0.183s      0.088w     29 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w     29 calls
| | New vector                      :      0.050u      0.017s      0.068w     29 calls
HF: Form C                          :      2.383u      0.000s      1.441w     29 calls

**************************************************************************************
